,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,dominant_topic,author,year
Doc0,0.00012578616352212254,0.0001257861635222092,0.00012578616352222058,0.00012578616352221854,0.00012578616352218434,0.00012578616352215344,0.00012578616352221947,0.5932000198057242,0.00012578616352223253,0.00012578616352223372,0.0001257861635221882,0.00012578616352222174,0.00012578616352228297,0.051678357537715804,0.00012578616352225047,0.00012578616352231536,0.00012578616352223353,0.00012578616352225012,0.0001257861635222874,0.00012578616352225538,0.2193627506710748,0.00012578616352226026,0.0001257861635223043,0.00012578616352227414,0.00012578616352224687,0.00012578616352213685,0.00012578616352219317,0.00012578616352223806,0.1324884317339071,0.00012578616352236155,7,Yusu Wang,2016
Doc1,2.8587764436858658e-05,2.8587764436871892e-05,2.8587764436888653e-05,2.8587764436888246e-05,2.858776443687926e-05,2.8587764436871994e-05,2.8587764436886867e-05,0.4001680577292718,2.8587764436892275e-05,2.8587764436884967e-05,2.8587764436887853e-05,2.858776443688454e-05,2.8587764436898316e-05,0.27197438113906447,2.8587764436895775e-05,2.8587764436912533e-05,2.858776443689947e-05,2.8587764436888704e-05,2.858776443691158e-05,2.8587764436896798e-05,0.16751965542104644,2.858776443689804e-05,2.8587764436901118e-05,2.858776443689437e-05,2.8587764436956165e-05,2.8587764436865807e-05,2.8587764436881457e-05,2.8587764436884597e-05,0.09809672441268459,0.061526487187010405,7,Yusu Wang,2017
Doc2,3.5803795202298e-05,3.580379520230861e-05,3.580379520231414e-05,3.5803795202308775e-05,3.580379520231146e-05,3.5803795202304025e-05,3.580379520231181e-05,3.5803795202320884e-05,3.5803795202318296e-05,3.580379520231646e-05,3.5803795202306403e-05,3.580379520231009e-05,3.580379520232264e-05,3.5803795202327146e-05,3.580379520231532e-05,3.5803795202326204e-05,3.580379520232233e-05,3.5803795202315585e-05,3.580379520231824e-05,3.580379520231702e-05,0.9989616899391329,3.58037952023215e-05,3.5803795202321176e-05,3.5803795202316195e-05,3.580379520232231e-05,3.5803795202304133e-05,3.580379520231017e-05,3.580379520231051e-05,3.5803795202327044e-05,3.580379520231751e-05,20,Yusu Wang,2018
Doc3,3.8402457757357995e-05,3.8402457757370755e-05,3.8402457757394486e-05,3.840245775739077e-05,3.840245775739041e-05,3.840245775737341e-05,3.8402457757395055e-05,0.3228798268405544,3.8402457757403634e-05,3.840245775739377e-05,3.8402457757371175e-05,3.840245775741031e-05,3.8402457757424464e-05,0.2625231071999202,3.840245775739385e-05,3.8402457757407144e-05,3.840245775740326e-05,3.840245775739107e-05,3.840245775741712e-05,3.84024577574144e-05,0.1611593877870962,3.8402457757405084e-05,3.8402457757411176e-05,3.8402457757425365e-05,3.840245775740429e-05,3.8402457757368865e-05,3.840245775740379e-05,3.840245775742288e-05,0.2524392142707367,3.840245775743214e-05,7,Yusu Wang,2019
Doc4,5.096839959230644e-05,5.096839959233348e-05,5.096839959233686e-05,5.096839959234128e-05,5.096839959233894e-05,5.096839959234499e-05,5.096839959234471e-05,0.38885858093665726,5.096839959235584e-05,5.096839959235008e-05,5.096839959236241e-05,5.0968399592344826e-05,5.0968399592359375e-05,0.08999197902330755,5.096839959235718e-05,5.0968399592349624e-05,5.096839959235702e-05,5.0968399592379724e-05,5.096839959237844e-05,5.096839959236088e-05,0.4012047676661668,5.096839959237016e-05,5.096839959236469e-05,5.0968399592355194e-05,5.096839959233583e-05,5.09683995923238e-05,5.0968399592336424e-05,5.0968399592342184e-05,0.11861949398446756,5.0968399592366876e-05,20,Yusu Wang,2020
Doc5,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0,Yusu Wang,2021
Doc6,0.00046948356807591354,0.00046948356807598315,0.00046948356807623636,0.0004694835680761615,0.00046948356807635785,0.0004694835680759459,0.0004694835680761659,0.00046948356807648194,0.4857546781598068,0.00046948356807650124,0.0004694835680767139,0.00046948356807635807,0.0004694835680765419,0.00046948356807641347,0.00046948356807635666,0.00046948356807659377,0.00046948356807644356,0.00046948356807617684,0.00046948356807611716,0.000469483568076329,0.0004694835680761922,0.05238234018397627,0.0004694835680766355,0.00046948356807669455,0.03176948057132997,0.00046948356807597453,0.0004694835680760499,0.0004694835680761961,0.41788692831490315,0.000469483568076315,8,Babak Salimi,2016
Doc7,0.0001111111111111683,0.00011111111111121806,0.00011111111111124336,0.00011111111111127608,0.00011111111111120166,0.00011111111111121799,0.00011111111111125965,0.00011111111111128532,0.5818082076504276,0.00011111111111135424,0.00011111111111120703,0.00011111111111127552,0.0001111111111112727,0.00011111111111131821,0.00011111111111127886,0.00011111111111127428,0.00011111111111123916,0.00011111111111123824,0.0001111111111112412,0.00011111111111128891,0.0001111111111112566,0.00011111111111128627,0.00011111111111131523,0.00011111111111130917,0.00011111111111126158,0.00011111111111120192,0.00011111111111124836,0.00011111111111125396,0.41508068123845715,0.0001111111111113223,8,Babak Salimi,2017
Doc8,0.00022222222222239714,0.00022222222222247773,0.00022222222222252763,0.0002222222222228931,0.00022222222222248922,0.00022222222222249312,0.6132690791311352,0.0002222222222226108,0.0002222222222226583,0.0002222222222225928,0.00022222222222248678,0.00022222222222253942,0.00022222222222258322,0.00022222222222269055,0.00022222222222257186,0.0002222222222226149,0.00022222222222257894,0.000222222222222714,0.0002222222222225241,0.00022222222222264586,0.0002222222222225421,0.00022222222222256384,0.00022222222222301335,0.00022222222222262344,0.0002222222222226975,0.00022222222222257948,0.00022222222222260894,0.0002222222222225453,0.3805086986466317,0.00022222222222289316,6,Babak Salimi,2018
Doc9,0.00011820330969284902,0.00011820330969288345,0.0001182033096929221,0.0001182033096929017,0.00011820330969289459,0.00011820330969289594,0.00011820330969295748,0.00011820330969298105,0.17616069690447086,0.00011820330969301046,0.00011820330969287491,0.00011820330969289907,0.00011820330969292385,0.00011820330969297166,0.00011820330969297269,0.00011820330969293871,0.00011820330969295235,0.00011820330969292695,0.00011820330969291871,0.00011820330969297926,0.00011820330969294382,0.00011820330969296557,0.00011820330969295504,0.00011820330969297402,0.00011820330969292372,0.00011820330969290803,0.00011820330969291969,0.00011820330969291859,0.820529610424127,0.00011820330969290903,28,Babak Salimi,2019
