,HDSI_author,year,category_for
0,Albert Hsiao,2016,"['1103 Clinical Sciences', '09 Engineering', '11 Medical and Health Sciences', '1102 Cardiorespiratory Medicine and Haematology']"
1,Albert Hsiao,2017,"['0801 Artificial Intelligence and Image Processing', '1102 Cardiorespiratory Medicine and Haematology', '1103 Clinical Sciences', '11 Medical and Health Sciences', '1107 Immunology', '08 Information and Computing Sciences']"
2,Albert Hsiao,2018,"['1112 Oncology and Carcinogenesis', '09 Engineering', '1102 Cardiorespiratory Medicine and Haematology', '1103 Clinical Sciences', '11 Medical and Health Sciences', '0299 Other Physical Sciences', '02 Physical Sciences', '0903 Biomedical Engineering']"
3,Albert Hsiao,2019,"['1112 Oncology and Carcinogenesis', '08 Information and Computing Sciences', '09 Engineering', '0801 Artificial Intelligence and Image Processing', '1102 Cardiorespiratory Medicine and Haematology', '1103 Clinical Sciences', '11 Medical and Health Sciences', '0299 Other Physical Sciences', '02 Physical Sciences', '0903 Biomedical Engineering']"
4,Albert Hsiao,2020,"['1112 Oncology and Carcinogenesis', '1117 Public Health and Health Services', '0801 Artificial Intelligence and Image Processing', '02 Physical Sciences', '1102 Cardiorespiratory Medicine and Haematology', '1103 Clinical Sciences', '11 Medical and Health Sciences', '0299 Other Physical Sciences', '08 Information and Computing Sciences']"
5,Albert Hsiao,2021,"['0801 Artificial Intelligence and Image Processing', '1102 Cardiorespiratory Medicine and Haematology', '1103 Clinical Sciences', '11 Medical and Health Sciences', '08 Information and Computing Sciences']"
6,Albert Hsiao,2022,"['11 Medical and Health Sciences', '1102 Cardiorespiratory Medicine and Haematology']"
7,Alex Cloninger,2017,"['0102 Applied Mathematics', '0101 Pure Mathematics', '1117 Public Health and Health Services', '0104 Statistics', '11 Medical and Health Sciences', '01 Mathematical Sciences', '0105 Mathematical Physics']"
8,Alex Cloninger,2018,"['0102 Applied Mathematics', '0101 Pure Mathematics', '1117 Public Health and Health Services', '11 Medical and Health Sciences', '0103 Numerical and Computational Mathematics', '01 Mathematical Sciences']"
9,Alex Cloninger,2019,"['0102 Applied Mathematics', '0101 Pure Mathematics', '0801 Artificial Intelligence and Image Processing', '0104 Statistics', '0103 Numerical and Computational Mathematics', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
10,Alex Cloninger,2020,"['0102 Applied Mathematics', '0801 Artificial Intelligence and Image Processing', '0104 Statistics', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
11,Alex Cloninger,2021,"['0102 Applied Mathematics', '0101 Pure Mathematics', '0801 Artificial Intelligence and Image Processing', '0104 Statistics', '0103 Numerical and Computational Mathematics', '01 Mathematical Sciences', '08 Information and Computing Sciences']"
12,Angela Yu,2016,"['17 Psychology and Cognitive Sciences', '1701 Psychology']"
13,Angela Yu,2017,"['1701 Psychology', '06 Biological Sciences', '1403 Econometrics', '17 Psychology and Cognitive Sciences', '11 Medical and Health Sciences', '14 Economics']"
14,Angela Yu,2018,"['17 Psychology and Cognitive Sciences', '1701 Psychology']"
15,Angela Yu,2019,"['1109 Neurosciences', '11 Medical and Health Sciences']"
16,Angela Yu,2020,"['17 Psychology and Cognitive Sciences', '1701 Psychology']"
17,Angela Yu,2021,"['17 Psychology and Cognitive Sciences', '1701 Psychology']"
18,Armin Schwartzman,2016,"['09 Engineering', '0801 Artificial Intelligence and Image Processing', '1403 Econometrics', '0104 Statistics', '14 Economics', '01 Mathematical Sciences', '08 Information and Computing Sciences', '0903 Biomedical Engineering']"
19,Armin Schwartzman,2017,"['0401 Atmospheric Sciences', '0102 Applied Mathematics', '06 Biological Sciences', '0101 Pure Mathematics', '0801 Artificial Intelligence and Image Processing', '0604 Genetics', '1103 Clinical Sciences', '1403 Econometrics', '0104 Statistics', '11 Medical and Health Sciences', '01 Mathematical Sciences', '14 Economics', '04 Earth Sciences', '08 Information and Computing Sciences']"
20,Armin Schwartzman,2018,"['0404 Geophysics', '0101 Pure Mathematics', '0201 Astronomical and Space Sciences', '0405 Oceanography', '1403 Econometrics', '0104 Statistics', '0406 Physical Geography and Environmental Geoscience', '14 Economics', '01 Mathematical Sciences', '04 Earth Sciences', '02 Physical Sciences']"
21,Armin Schwartzman,2019,"['10 Technology', '1701 Psychology', '1005 Communications Technologies', '02 Physical Sciences', '0801 Artificial Intelligence and Image Processing', '0201 Astronomical and Space Sciences', '17 Psychology and Cognitive Sciences', '0104 Statistics', '11 Medical and Health Sciences', '01 Mathematical Sciences', '0803 Computer Software', '08 Information and Computing Sciences']"
22,Armin Schwartzman,2020,"['0801 Artificial Intelligence and Image Processing', '1103 Clinical Sciences', '0104 Statistics', '11 Medical and Health Sciences', '0406 Physical Geography and Environmental Geoscience', '04 Earth Sciences', '08 Information and Computing Sciences', '0404 Geophysics', '0909 Geomatic Engineering', '09 Engineering', '0101 Pure Mathematics', '01 Mathematical Sciences', '14 Economics', '0401 Atmospheric Sciences', '1701 Psychology', '1403 Econometrics', '17 Psychology and Cognitive Sciences', '0906 Electrical and Electronic Engineering', '05 Environmental Sciences', '0502 Environmental Science and Management']"
23,Armin Schwartzman,2021,"['1701 Psychology', '0101 Pure Mathematics', '0104 Statistics', '17 Psychology and Cognitive Sciences', '01 Mathematical Sciences']"
