author,dominant_topic
Albert Hsiao,4
Alex Cloninger,0
Angela Yu,0
Armin Schwartzman,0
Arya Mazumdar,2
Babak Salimi,0
Barna Saha,2
Benjamin Smarr,3
Berk Ustun,2
Bradley Voytek,0
David Danks,0
Dimitris Politis,0
Eran Mukamel,1
"Ery, Arias-Castro ",0
Frank Wuerthwein,0
Gal Mishne,0
George Sugihara,0
Henrik Christensen,0
Ilkay Altintas,0
Jelena Bradic,0
Jingbo Shang,0
Justin Eldridge,0
Lucila Ohno-Machado,2
Margaret (Molly) Roberts,0
Michael Holst,0
Michael Pazzani,0
Mikhail Belkin,0
Mikio Aoi,0
R. Stuart Geiger,0
Rajesh Gupta,0
Rayan Saab,0
Robin Knight,3
Ronghui (Lily) Xu,3
Rose Yu,0
Ruth Williams,0
Shankar Subramaniam,1
Shannon Ellis,1
Tara Javidi,0
Terry Sejnowski,0
Tsu-Wei (Lily) Weng,4
Vineet Bafna,1
Virginia De Sa,0
Yian Ma,0
Yoav Freund,4
Young-Han Kim,4
Yusu Wang,4
Zhiting Hu,0
