,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,dominant_topic,author,year
Doc0,2.8587764436890557e-05,2.8587764436854856e-05,2.858776443688623e-05,2.858776443689059e-05,2.8587764436899238e-05,2.858776443689093e-05,2.8587764436897547e-05,2.858776443688587e-05,2.8587764436861582e-05,2.858776443688569e-05,2.858776443689421e-05,2.858776443686972e-05,2.8587764436894853e-05,2.8587764436852735e-05,2.8587764436893417e-05,2.858776443686695e-05,2.858776443690148e-05,2.858776443688101e-05,2.8587764436889287e-05,0.021396460975782912,2.8587764436888843e-05,2.8587764436872702e-05,2.858776443688667e-05,2.8587764436865248e-05,2.858776443689731e-05,0.8417738610476551,0.0047905310055828,2.858776443688798e-05,0.13129586509562036,2.85877644368898e-05,25,Yusu Wang,2017
Doc1,3.580379520232943e-05,3.580379520230506e-05,3.58037952023257e-05,3.580379520231685e-05,3.5803795202315585e-05,3.580379520230553e-05,3.5803795202330195e-05,3.58037952023203e-05,3.58037952023082e-05,3.580379520232225e-05,3.580379520232181e-05,3.58037952023157e-05,3.5803795202316703e-05,3.580379520230409e-05,3.5803795202321494e-05,3.5803795202313586e-05,3.5803795202329375e-05,3.5803795202322145e-05,3.58037952023255e-05,3.5803795202319414e-05,3.580379520231115e-05,0.9989616899391328,3.5803795202301735e-05,3.5803795202313945e-05,3.580379520231316e-05,3.580379520234704e-05,3.5803795202333834e-05,3.580379520232402e-05,3.5803795202335806e-05,3.580379520231773e-05,21,Yusu Wang,2018
Doc2,3.840245775740295e-05,3.84024577573508e-05,3.8402457757390034e-05,3.840245775738969e-05,3.84024577573783e-05,3.840245775734436e-05,3.840245775740147e-05,3.840245775738003e-05,3.840245775734992e-05,3.8402457757400354e-05,3.8402457757382844e-05,3.8402457757365897e-05,3.840245775739583e-05,3.840245775734452e-05,3.84024577573851e-05,3.8402457757374834e-05,0.08769302629950163,3.840245775739892e-05,3.8402457757396376e-05,0.18351849988822272,3.8402457757368275e-05,3.840245775737597e-05,3.840245775734132e-05,3.8402457757359256e-05,3.840245775739452e-05,0.48383176544172,3.840245775739553e-05,3.840245775740831e-05,0.24395824446886352,3.8402457757387174e-05,25,Yusu Wang,2019
Doc3,5.096839959232822e-05,5.0968399592275166e-05,5.096839959232135e-05,5.0968399592300916e-05,5.096839959231345e-05,5.09683995922818e-05,5.09683995923588e-05,5.0968399592295664e-05,5.0968399592285236e-05,5.0968399592317775e-05,5.096839959231303e-05,5.0968399592298226e-05,5.096839959230147e-05,5.0968399592278575e-05,5.0968399592309366e-05,5.096839959230669e-05,5.0968399592338565e-05,5.0968399592308024e-05,5.096839959231455e-05,5.0968399592300476e-05,5.096839959229694e-05,5.096839959231571e-05,5.0968399592275654e-05,5.096839959229664e-05,5.096839959229377e-05,0.9985219164118233,5.096839959230489e-05,5.0968399592307855e-05,5.096839959232735e-05,5.096839959229982e-05,25,Yusu Wang,2020
Doc4,0.0017543859649161516,0.0017543859649135048,0.0017543859649144066,0.0017543859649154258,0.001754385964914149,0.0017543859649134191,0.001754385964914918,0.0017543859649145235,0.0017543859649134979,0.199615291456281,0.0017543859649148694,0.0017543859649147388,0.0017543859649157567,0.0017543859649136989,0.0017543859649150069,0.17443896548173082,0.39357022381431095,0.18676148415988936,0.0017543859649161533,0.001754385964915927,0.0017543859649146096,0.0017543859649142754,0.0017543859649134497,0.0017543859649142759,0.001754385964915091,0.0017543859649155565,0.0017543859649163252,0.0017543859649156248,0.0017543859649156546,0.0017543859649169415,16,Yusu Wang,2021
Doc5,0.6375896030169756,0.00011111111111129435,0.00011111111111137215,0.00011111111111137149,0.00011111111111134207,0.00011111111111125857,0.00011111111111136631,0.00011111111111132114,0.0001111111111112878,0.00011111111111134766,0.3592992858719071,0.0001111111111113549,0.0001111111111113688,0.00011111111111129576,0.00011111111111135627,0.00011111111111127281,0.00011111111111144235,0.00011111111111135836,0.00011111111111139594,0.00011111111111139493,0.00011111111111131156,0.00011111111111129615,0.00011111111111126164,0.00011111111111130734,0.00011111111111136163,0.00011111111111136482,0.0001111111111113888,0.00011111111111140236,0.00011111111111139896,0.00011111111111136628,0,Babak Salimi,2017
Doc6,0.00022222222222274032,0.00022222222222252803,0.1385328217542299,0.6584719561816271,0.0002222222222226312,0.00022222222222257522,0.00022222222222257883,0.0002222222222225446,0.00022222222222247136,0.0002222222222225907,0.1969952220641326,0.0002222222222225431,0.0002222222222225691,0.0002222222222224612,0.00022222222222259306,0.00022222222222266667,0.0002222222222227448,0.000222222222222689,0.0002222222222227084,0.00022222222222250787,0.00022222222222260422,0.00022222222222251359,0.000222222222222417,0.00022222222222265228,0.00022222222222255638,0.0002222222222227337,0.00022222222222258707,0.00022222222222272468,0.00022222222222283513,0.00022222222222261347,3,Babak Salimi,2018
Doc7,0.00011820330969277492,0.00011820330969270467,0.00011820330969276845,0.00011820330969272468,0.00011820330969273033,0.00011820330969269611,0.00011820330969274768,0.00011820330969271636,0.00011820330969270093,0.0001182033096927335,0.00011820330969281876,0.00011820330969272698,0.0001182033096927204,0.00011820330969269234,0.00011820330969272523,0.00011820330969272492,0.00011820330969277214,0.00011820330969273774,0.00011820330969276876,0.00011820330969274284,0.00011820330969271144,0.00011820330969271934,0.00011820330969268867,0.9965721040189106,0.00011820330969271123,0.00011820330969274978,0.00011820330969273899,0.00011820330969275304,0.00011820330969278092,0.000118203309692723,23,Babak Salimi,2019
Doc8,9.009009009018852e-05,9.009009009011954e-05,9.009009009020618e-05,9.009009009015886e-05,9.009009009014196e-05,9.009009009012407e-05,9.009009009017002e-05,9.00900900901687e-05,9.009009009011928e-05,9.009009009017572e-05,0.9973873873873852,9.009009009014357e-05,9.009009009015533e-05,9.009009009011649e-05,9.009009009016169e-05,9.009009009015094e-05,9.009009009018917e-05,9.009009009017532e-05,9.009009009018276e-05,9.009009009016941e-05,9.00900900901294e-05,9.009009009014537e-05,9.009009009013217e-05,9.009009009021811e-05,9.009009009014875e-05,9.009009009017843e-05,9.009009009018378e-05,9.009009009018945e-05,9.009009009020117e-05,9.009009009015911e-05,10,Babak Salimi,2020
Doc9,0.00013071895424856284,0.00013071895424842146,0.00013071895424851372,0.0001307189542485233,0.00013071895424849258,0.00013071895424841715,0.00013071895424852473,0.00013071895424852248,0.00013071895424843726,0.0001307189542485529,0.9962091503267936,0.000130718954248483,0.0001307189542485139,0.0001307189542484287,0.00013071895424852017,0.00013071895424845398,0.00013071895424851556,0.00013071895424849946,0.00013071895424855302,0.00013071895424851974,0.00013071895424847084,0.00013071895424847073,0.00013071895424840885,0.0001307189542484778,0.00013071895424849716,0.0001307189542485594,0.0001307189542485077,0.0001307189542485256,0.00013071895424856143,0.0001307189542484987,10,Babak Salimi,2021
Doc10,3.4470872113123424e-05,3.4470872113087225e-05,3.4470872113141896e-05,3.4470872113109316e-05,3.447087211312062e-05,3.447087211309116e-05,3.447087211311224e-05,0.6213933410055246,3.447087211308968e-05,3.4470872113109364e-05,3.447087211310772e-05,3.447087211310123e-05,3.4470872113104607e-05,3.4470872113092646e-05,3.447087211310425e-05,3.4470872113097986e-05,3.447087211312148e-05,3.4470872113134165e-05,3.447087211311154e-05,3.447087211310726e-05,3.447087211311495e-05,3.447087211312586e-05,3.447087211308797e-05,3.447087211309461e-05,3.4470872113105576e-05,3.447087211312407e-05,3.447087211313985e-05,3.4470872113138434e-05,0.3776414745753085,3.447087211310225e-05,7,Arya Mazumdar,2017
Doc11,4.629629629640405e-05,4.6296296296352015e-05,4.629629636385217e-05,4.6296296296386195e-05,4.629629629636822e-05,4.6296296296365907e-05,4.6296296296389495e-05,0.09867348597084369,4.629629629634822e-05,4.62962962963789e-05,4.629629629639914e-05,4.6296296296386046e-05,4.6296296296379764e-05,4.629629629634831e-05,4.6296296296383416e-05,4.629629629636034e-05,4.629629629639875e-05,0.044945719409032296,4.629629629638561e-05,4.6296296296374885e-05,4.629629629635887e-05,4.6296296296382874e-05,4.6296296296357904e-05,4.62962962963626e-05,4.629629629637732e-05,4.62962962963944e-05,4.629629629640485e-05,4.629629629640579e-05,0.8551307946200544,4.629629629637663e-05,28,Arya Mazumdar,2018
Doc12,4.011231448060183e-05,4.011231448057563e-05,0.29193686889481457,4.011231448058956e-05,4.0112314480587436e-05,4.0112314480571004e-05,4.011231448060057e-05,0.3425206938294997,4.01123144805701e-05,4.011231448059737e-05,4.011231448058973e-05,4.011231448058034e-05,4.0112314480585803e-05,4.0112314480572874e-05,4.011231448059447e-05,4.011231448058425e-05,4.011231448059818e-05,4.0112314480637086e-05,4.0112314480593786e-05,4.0112314480599e-05,4.0112314480581446e-05,4.01123144806044e-05,4.0112314480570875e-05,4.0112314480583676e-05,4.011231448058682e-05,4.011231448060798e-05,4.0112314480617774e-05,4.0112314480610144e-05,0.3644594047847097,4.0112314480587796e-05,28,Arya Mazumdar,2019
Doc13,4.4267374944712534e-05,4.426737494467994e-05,0.9987162461266036,4.4267374944696555e-05,4.426737494469522e-05,4.4267374944683294e-05,4.426737494470808e-05,4.426737494470003e-05,4.426737494468526e-05,4.426737494470433e-05,4.42673749447018e-05,4.426737494469596e-05,4.4267374944697294e-05,4.4267374944686154e-05,4.4267374944699706e-05,4.4267374944703284e-05,4.426737494471188e-05,4.426737494471137e-05,4.42673749447083e-05,4.426737494469988e-05,4.4267374944687435e-05,4.4267374944703135e-05,4.4267374944679107e-05,4.4267374944696115e-05,4.4267374944693486e-05,4.426737494471699e-05,4.426737494470889e-05,4.426737494471415e-05,4.426737494499334e-05,4.426737494469817e-05,2,Arya Mazumdar,2020
Doc14,5.659309564246557e-05,5.659309564240626e-05,0.663593226442901,5.659309564244277e-05,5.6593095642435295e-05,5.659309564241759e-05,5.659309564244325e-05,5.65930956424771e-05,5.659309564240861e-05,5.659309564245375e-05,5.659309564243089e-05,5.659309564243957e-05,5.6593095642453537e-05,5.659309564241366e-05,5.659309564243624e-05,5.6593095642419344e-05,5.659309564243818e-05,0.02690798948563011,5.6593095642457657e-05,5.659309564246093e-05,5.6593095642434685e-05,5.659309564243212e-05,5.65930956424033e-05,5.659309564242015e-05,5.6593095642439455e-05,5.659309564248104e-05,5.659309564248134e-05,5.6593095642443806e-05,0.307970770489123,5.659309564244887e-05,2,Arya Mazumdar,2021
Doc15,6.253908692939679e-05,6.253908692935367e-05,6.253908692940002e-05,6.253908692938377e-05,6.253908692938969e-05,6.25390869293546e-05,6.253908692939678e-05,6.253908692937588e-05,6.253908692936108e-05,6.253908692940135e-05,6.253908692938401e-05,0.998186366479048,6.253908692938535e-05,6.253908692936203e-05,6.253908692937827e-05,6.253908692937138e-05,6.253908692939083e-05,6.253908692937992e-05,6.253908692940655e-05,6.253908692943249e-05,6.253908692937434e-05,6.253908692936914e-05,6.2539086929352e-05,6.253908692936994e-05,6.253908692938668e-05,6.253908692939218e-05,6.25390869293912e-05,6.253908692939016e-05,6.253908692941494e-05,6.253908692937753e-05,11,Berk Ustun,2017
Doc16,0.0002178649237476253,0.00021786492374743674,0.00021786492374767683,0.00021786492374753518,0.00021786492374765247,0.0002178649237474104,0.0002178649237475752,0.0002178649237475233,0.00021786492374739646,0.0002178649237475391,0.0002178649237476464,0.0002178649237474919,0.00021786492374751494,0.00021786492374742449,0.00021786492374767664,0.00021786492374746026,0.0002178649237476257,0.08444111465594108,0.00021786492374764802,0.00021786492374756622,0.0002178649237474664,0.00021786492374746417,0.00021786492374742164,0.00021786492374755977,0.00021786492374747357,0.00021786492374766358,0.00021786492374776132,0.0002178649237476598,0.45530583344613257,0.4543706989567426,28,Berk Ustun,2018
Doc17,8.130081300838033e-05,8.130081300825646e-05,8.130081300838251e-05,8.130081300835488e-05,8.13008130083279e-05,8.130081300826103e-05,8.130081300832364e-05,8.130081300830496e-05,8.13008130082549e-05,8.130081300832876e-05,0.12632449827556214,0.06818583082314082,8.130081300832436e-05,8.130081300825922e-05,8.130081300833098e-05,8.13008130082887e-05,8.130081300836828e-05,8.130081300831998e-05,0.5391651999198525,8.13008130083621e-05,8.130081300830878e-05,8.130081300831537e-05,8.130081300825292e-05,8.130081300829474e-05,8.130081300831387e-05,8.130081300836011e-05,8.130081300831984e-05,8.130081300837332e-05,0.2642106498432282,8.13008130083478e-05,18,Berk Ustun,2019
Doc18,0.00029761904762002804,0.0002976190476194478,0.0002976190476199359,0.00029761904761973254,0.00029761904761973476,0.0002976190476194519,0.00029761904761968033,0.0002976190476196871,0.0002976190476194224,0.0002976190476196662,0.09671008700531401,0.1560046969317555,0.00029761904761961913,0.00029761904761955673,0.000297619047619603,0.00029761904761960373,0.0002976190476198203,0.0002976190476197608,0.37720323110604265,0.00029761904761971324,0.0002976190476196572,0.00029761904761958113,0.0002976190476195518,0.0002976190476198578,0.0002976190476195922,0.0002976190476196809,0.0002976190476198247,0.000297619047619945,0.3623438897187761,0.00029761904761957186,18,Berk Ustun,2021
