,Topic0,Topic1,Topic2,Topic3,Topic4,dominant_topic,author,year
Doc0,0.40333470214601125,0.00017509188111147222,0.00017490684082151103,0.0001750085415753105,0.5961402905904806,4,Yusu Wang,2017
Doc1,0.8494399113765647,0.00021686383024081647,0.00021802830306587138,0.00021651610322367783,0.14990868038690505,0,Yusu Wang,2018
Doc2,0.4634139898765605,0.00023584951366105146,0.0002351121756174936,0.00023700712689096883,0.5358780413072699,4,Yusu Wang,2019
Doc3,0.00031519213681182,0.0003111831782011486,0.00031191531131257274,0.0003107207283814937,0.9987509886452929,4,Yusu Wang,2020
Doc4,0.957071565549996,0.010701208690976495,0.010759292270470882,0.01084312567808187,0.010624807810474783,0,Yusu Wang,2021
Doc5,0.9972758726536443,0.0006786282122195574,0.0006870891899036237,0.0006820886361523816,0.000676321308080279,0,Babak Salimi,2017
Doc6,0.8625453520318416,0.0013618520894164842,0.13338641482555838,0.001354013852870572,0.0013523672003129127,0,Babak Salimi,2018
Doc7,0.16398580658357526,0.0007192331995923545,0.8338573227582692,0.0007183073814611081,0.0007193300771021767,2,Babak Salimi,2019
Doc8,0.606949125394548,0.0005475984937192471,0.26505482068884195,0.0005487904679507277,0.12689966495494007,0,Babak Salimi,2020
Doc9,0.6832011871987932,0.0008000225645404801,0.08237300323085683,0.23281099558586907,0.0008147914199405394,0,Babak Salimi,2021
Doc10,0.03409965270635484,0.0002097590934893012,0.15664266692280426,0.00021076631933263654,0.808837154958019,4,Arya Mazumdar,2017
Doc11,0.16806562031592165,0.00028149373612801554,0.45277341943991783,0.00028172669969209484,0.37859773980834033,2,Arya Mazumdar,2018
Doc12,0.000247895770859524,0.00024300478939398088,0.41783530637986327,0.00024338821537467508,0.5814304048445086,4,Arya Mazumdar,2019
Doc13,0.08994320829940328,0.000268543241352596,0.7974014606465358,0.000268613709186106,0.11211817410352219,2,Arya Mazumdar,2020
Doc14,0.000348866139333313,0.00034374015996649305,0.8181449784755135,0.0003442991504583817,0.18081811607472825,2,Arya Mazumdar,2021
Doc15,0.14143729817716152,0.000379510051561733,0.5767949532464242,0.2809985937172768,0.00038964480757572013,2,Berk Ustun,2017
Doc16,0.37241154571452373,0.001326090622786835,0.25340208853613994,0.001329352100871902,0.37153092302567764,0,Berk Ustun,2018
Doc17,0.4002690235331234,0.0004968854341623688,0.5982358381540321,0.0004996739152562078,0.0004985789634258986,2,Berk Ustun,2019
Doc18,0.6814635521682665,0.0018094722800012985,0.31308032344827574,0.0018148565042786114,0.001831795599177728,0,Berk Ustun,2021
Doc19,0.7240422919549324,0.054013998830364916,0.15358433393827875,0.0006361346510717574,0.0677232406253521,0,Gal Mishne,2017
Doc20,0.8951249937890181,0.0006819533282326818,0.000683893653498598,0.0006806699034000015,0.10282848932585066,0,Gal Mishne,2018
Doc21,0.6592795062106025,0.0004122068604379888,0.0004140490113299596,0.0004132047091394742,0.33948103320849,0,Gal Mishne,2019
Doc22,0.9986543635698724,0.00033539409516186226,0.0003372511957429581,0.00033536770227001443,0.00033762343695282695,0,Gal Mishne,2020
Doc23,0.9573821944288008,0.000159824127232827,0.0001602199434251885,0.027075521994112544,0.015222239506428535,0,Gal Mishne,2021
Doc24,0.5764384368232975,0.000912607736169411,0.0009159451650779337,0.0009106401749833159,0.42082237010047174,0,Mikhail Belkin,2018
Doc25,0.7040820429770965,0.0006987140898862198,0.0007011829868385754,0.0007007635801859334,0.29381729636599263,0,Mikhail Belkin,2019
Doc26,0.43334197072700137,0.0008666104691704851,0.21151883403714827,0.000872635713175283,0.3533999490535047,0,Mikhail Belkin,2020
Doc27,0.401887114362515,0.0020726206373932565,0.002064772798302239,0.0020561652015130736,0.5919193270002764,4,Mikhail Belkin,2021
Doc28,0.0002533600915765443,0.00024964928747387306,0.00025195458991502604,0.00025050793575101315,0.9989945280952834,4,Tsu-Wei (Lily) Weng,2018
Doc29,0.0003537636963794851,0.000347517704526688,0.0003514556000353612,0.00034859696663624057,0.9985986660324222,4,Tsu-Wei (Lily) Weng,2019
Doc30,0.4912375425681776,0.00042591793014649183,0.00042963336944313425,0.0004270567220632277,0.5074798494101697,4,Tsu-Wei (Lily) Weng,2020
Doc31,0.018817930656802644,0.0006297522766353227,0.00063427508099664,0.0006305324031787402,0.9792875095823865,4,Tsu-Wei (Lily) Weng,2021
Doc32,0.4114598465962761,0.0018058671965975627,0.0018263050404966903,0.001817822866724037,0.5830901582999056,4,Yian Ma,2018
Doc33,0.7228533806277977,0.273083494419759,0.0013491587287310564,0.0013571616058188638,0.0013568046178934617,0,Yian Ma,2019
Doc34,0.2,0.2,0.2,0.2,0.2,0,Yian Ma,2021
Doc35,0.5481972948332439,0.00026954989597777874,0.0002703869887461049,0.00026969840727959104,0.4509930698747527,0,Zhiting Hu,2017
Doc36,0.6669358099099575,0.00032878445453442853,0.00032978440018746825,0.00032878817897465947,0.33207683305634583,0,Zhiting Hu,2018
Doc37,0.9434539328806,0.0022483084422469275,0.002273221242933994,0.0022518159586419713,0.049772721475577195,0,Zhiting Hu,2019
Doc38,0.8594837792844916,0.0008433709652325734,0.11344217885189177,0.0253875654204649,0.00084310547791919,0,Zhiting Hu,2020
Doc39,0.2,0.2,0.2,0.2,0.2,0,Zhiting Hu,2021
Doc40,0.0005441095056824955,0.02141873662096216,0.23174478091150627,0.7457535062371571,0.0005388667246918583,3,Benjamin Smarr,2017
Doc41,0.3974657048476414,0.0006210783762873216,0.0006240046450060164,0.6006634882926181,0.0006257238384471636,3,Benjamin Smarr,2018
